鄉鎮市區,交易年月日,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,單價元平方公尺,縣市,住宅面積,屋齡_ADD,X,Y,移轉層次_ADD,總樓層數_ADD
深坑區,1080824,公寓(5樓含以下無電梯),2,1,1,37644,新北市,82.350,44,313218.326,2766861.683,1,4
深坑區,1080620,住宅大樓(11層含以上有電梯),2,2,1,115486,新北市,83.560,1,312253.544,2766263.225,7,11
深坑區,1080130,住宅大樓(11層含以上有電梯),2,2,1,114266,新北市,86.640,1,312253.544,2766263.225,6,11
深坑區,1080612,住宅大樓(11層含以上有電梯),2,2,1,114958,新北市,86.640,1,312253.544,2766263.225,5,11
深坑區,1080330,住宅大樓(11層含以上有電梯),2,2,1,118896,新北市,86.630,1,312253.544,2766263.225,9,11
新店區,1080327,公寓(5樓含以下無電梯),3,3,2,141049,新北市,186.460,38,304287.963,2762541.973,1,5
新店區,1081010,公寓(5樓含以下無電梯),3,2,2,148021,新北市,186.460,38,304287.963,2762541.973,1,5
新店區,1080414,透天厝,4,2,2,456704,新北市,54.740,48,303436.512,2762890.691,0,2
新店區,1080223,住宅大樓(11層含以上有電梯),3,2,2,118487,新北市,120.520,32,303586.473,2763030.921,5,12
新店區,1080714,套房(1房1廳1衛),1,1,1,164962,新北市,60.620,8,303502.071,2762901.407,7,29
新店區,1080703,公寓(5樓含以下無電梯),6,0,6,108471,新北市,130.910,43,304730.060,2762685.444,5,5
新店區,1080806,公寓(5樓含以下無電梯),2,2,1,137584,新北市,59.600,47,304687.194,2762778.568,4,4
新店區,1080104,套房(1房1廳1衛),1,1,1,159466,新北市,53.930,5,304390.201,2762840.358,4,6
新店區,1080716,華廈(10層含以下有電梯),2,2,1,171060,新北市,54.250,5,304390.201,2762840.358,2,6
新店區,1080314,公寓(5樓含以下無電梯),4,2,2,105985,新北市,141.530,47,304014.234,2762982.873,4,4
新店區,1080710,套房(1房1廳1衛),5,0,5,102564,新北市,95.550,40,304012.729,2763247.893,5,5
新店區,1080530,公寓(5樓含以下無電梯),3,1,1,120565,新北市,87.090,46,303898.554,2763464.629,4,4
新店區,1080224,住宅大樓(11層含以上有電梯),3,2,2,130159,新北市,94.500,21,305051.368,2762504.808,4,14
新店區,1080129,住宅大樓(11層含以上有電梯),2,1,1,172779,新北市,61.349,1,304633.288,2762249.828,5,14
中和區,1080505,華廈(10層含以下有電梯),2,2,1,114634,新北市,76.330,23,300063.114,2765703.870,4,7
中和區,1080714,住宅大樓(11層含以上有電梯),2,2,1,127096,新北市,56.650,24,301643.264,2764977.219,3,11
